winner,tickets,reveals,tokens,set40,set20,set10,set5,set4,set1
0xf035af8a3dff1f90aeb21f9623589ae1330e9e09,293,1,2272,,,,,,2272
0x8cbf9fe9dcf0b7d05270c3c01a8e714b9a8ccf1b,1,1,797,,,,,797,
0x44a3ccddccae339d05200a8f4347f83a58847e52,25,1,6917,,,,,6917,
0x76062f2be6d889b32378127713aa07f8ecf7be98,12,1,5683,,,,,5683,
0xd2cae776ce70b18ebe9965c27d305ae72b4ea57d,1,1,15597,,,,,15597,
0x28527e6df01bad7038914fd9b8cbbd57f618531c,1,1,1662,,,,1662,,
0x37106760d6c250df1e366e0749c17ee14dc65652,4,1,5127,,,,5127,,
0x67164d8853d3dc9ab5d11cb6744e6f04401cf772,102,1,15441,,,,15441,,
0x92374325e2c251710a621a8423dacc907ad29234,7,1,1700,,,,1700,,
0x9879d4b8386fbfb6a411f721ac3652b48ac04838,1,1,11936,,,,11936,,
0x2a42cf4e1cfc33850fd8d8da24f86cd89b82ad95,17,1,1865,,,1865,,,
0xf29005e939777919f8384014daabd1a52b8c3e1d,1,1,4633,,,4633,,,
0x3689c216f8f6ce7e2ce2a27c81a23096a787f532,643,5,"4360, 4535, 11731, 10231, 2225","10231, 2225","4535, 11731",4360,,,
0x92890034a3dcb1c38c1184775788ba0f95c23f03,31,1,7600,,,7600,,,
0xc5dae970bf13c9c520531c4242ed1f5b16f5dbb8,19,1,7620,,,7620,,,
0x9c28ad722628e679d2f889acdc7f599924bac827,4,1,10457,,,10457,,,
0xc8f8e2f59dd95ff67c3d39109eca2e2a017d4c8a,154,1,9349,,,9349,,,
0x1c8077047950a5a99c746bdeeb2516ffe6c16ac1,28,1,15387,,,15387,,,
0xf2b832b24ec2f10d6c0722c9cb664752dc684f00,71,1,255,,,255,,,
0x5cf2a678afe3b1f894bb3a081331b5906b828db8,1,1,12885,,,12885,,,
0x4b6760682191de7e476b801b7ab42d8e8a5b041a,70,1,11004,,11004,,,,
0x58d58008a506d6e29c9e57fc465dfd6c2342cf5f,27,1,1494,,1494,,,,
0xcbb989e8b5aeb187f2d8e3a8529a9bc85259c335,1,1,10727,,10727,,,,
0x5efdb6d8c798c2c2bea5b1961982a5944f92a5c1,331,2,"11816, 5390",5390,11816,,,,
0x421f8e314f6f2468887e7b00306acd7400a97f22,4,1,14935,,14935,,,,
0x227c4c298fd3079678aca82fba6c90e231d3447f,6,2,"91, 9214",9214,91,,,,
0xef1de2fa338fb55e834bd6cb8bad382d410cb882,32,1,3952,,3952,,,,
0x6ba7cd2726d2a9cc1c4fe3a6e465f142543332c4,8,1,8720,,8720,,,,
0x9d58bee9f3106dae97e552db92f98d275747555c,6,1,12285,,12285,,,,
0xef64c911fe7d6a7d94d475e55bfb27484ee786d9,21,1,15200,,15200,,,,
0x4f83bf45895cbabe2712389fb94cd52a3ea8c7a2,13,1,12557,,12557,,,,
0x2d203335219d3130991f8548b6cb1863563b316e,10,1,7592,,7592,,,,
0xfaf33e42372ce3e86a8c219af9ef24ccc35ce037,1,1,8807,,8807,,,,
0x883384adbd24a0cc7968e5d13af3470d75f376dd,26,1,77,,77,,,,
0x9be06783d8df6f483071805311e3dd55032eb88e,1,1,5738,,5738,,,,
0x65286e266256968ed2d53270e460099dc360002e,9,1,14002,,14002,,,,
0x065748e855d39e44aa8491218fc33dbdff5b552f,15,1,7835,,7835,,,,
0x43d9f2ef1c0c784526b496f38913451ac15c998e,5,1,10486,,10486,,,,
0x1aae1bc09e1785c8cb00650db0c6015bd73b0c7e,26,1,11724,11724,,,,,
0x6e0a0a204bd5c3c8f335cf046fc233bf43cbc891,5,1,4892,4892,,,,,
0x1a37de324fcfabfab490146fb6cf140685f9845b,24,1,1999,1999,,,,,
0xdf464b3759a515e2bfe348ba66a081b139ea58c3,12,1,2103,2103,,,,,
0x70353a9a3a2fe66ab44adecd61bb22b5928a6599,13,1,116,116,,,,,
0x92ef4baf847f2045c0a7d90ed6b3c25cc088da57,17,1,3973,3973,,,,,
0x0f28862bb9cc96f865c8047268230ff1248c7721,3,1,14030,14030,,,,,
0x90288121aeb294ed88bd709bf6de58a476ad7808,28,1,1073,1073,,,,,
0x91d62329a89a28b3f9bc98c8f396c16ec8d9802b,14,1,7003,7003,,,,,
0x9733f3c502196b4480457baafe3dc07c62a4c871,22,1,9459,9459,,,,,
0xaec4075e4fc8ce829bc4f0cfd5e2fa10dd2b12d1,202,2,"5578, 15600","5578, 15600",,,,,
0x67f2736750ea3f6010bda9528ef925bcdb77906c,11,1,9822,9822,,,,,
0xac40dc7db5bdef17cf93101ba653af15106ba52d,31,1,5104,5104,,,,,
0xe8e09423d945bb67fbd61c15beaf978f07b9f303,36,1,109,109,,,,,
0x9b059f4d2199e73aa86f8938167a1a6067474cf4,21,1,14406,14406,,,,,
0xcdef563a96b9751d781051b57c3cb664aa14e882,10,1,9440,9440,,,,,
0x271c6f480aeb26672b915a7b33159ce8f1e97fd3,53,1,11185,11185,,,,,
0xd52fba65a52214a65c78dc7f95c9fee1f13a5955,406,1,12787,12787,,,,,
0x69a404751b9016de94170f71ee0b29c7ad42386c,3,1,12979,12979,,,,,
0x0f45eff13e0adbc99fe23402cf7eaa27e97e362d,3,1,2759,2759,,,,,
0xd883d955c12a3818b6acb5e4cff3a3229b353395,5,1,10568,10568,,,,,
0xea9f83606ea6b80f15ddcfc8bacd61df1a12225a,1,1,9499,9499,,,,,
0xb442d26d2b0848e4782cfd7553ee75497f897cca,1,1,11336,11336,,,,,
0x5d802e2fe48392c104ce0401c7eca8a4456f1f16,18,1,12630,12630,,,,,
0x4d7bfb3a88cda7574561b7ed1a0b91f646d9f0fd,4,1,8771,8771,,,,,
0x962a7d642178c87eeec92240669ec98f868dc54e,99,1,7515,7515,,,,,
0x784f72eebfa5b8a667d2fec2ab720baff1b7b170,21,1,8000,8000,,,,,
0x2d2d380d8e59c612c20520ff23324fb00b81fa5c,16,1,11755,11755,,,,,
0xd389e3272be2dd07aca708dd4055d7d5c2f94883,8,1,4623,4623,,,,,
0xfcd57c3203e0974b1a52f11881c1b06749294112,11,1,1120,1120,,,,,
0x54dcb363205d953d620809cd315640cc36b679e4,2,1,14239,14239,,,,,
0xfa0e7097a2a0ba3ad006a7aeb25bbd383f99c7e1,1,1,15263,15263,,,,,
0xfb91acc7b0964fd346ef2ed9d330ea42eca730f5,12,1,7597,7597,,,,,
0x2a15ec623c093979af48a74dd50f15c953ce5141,24,1,11489,11489,,,,,
0xb756d6b49fcea3e770b7dcf0f4ad144911a7a782,7,1,11235,11235,,,,,
